# Dataset: annual water temperature at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Water temperature'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2008,12.1538,4.2,21.8,26,Cel,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2009,12.3529,0.7,23.5,51,Cel,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2010,11.7294,2.2,24.8,51,Cel,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2011,12.7471,2.4,21.1,51,Cel,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2012,13.4935,2.6,22.0,46,Cel,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_DERP2391566500,UNTERSUCHUNGSSTATION WORMS,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB NECKAR - UND MAINMÜNDUNG",49.6311,8.3793,2009,14.3818,5.1,24.3,11,Cel,Biblis A,treatment,9.072,Neckar,downstream,Neckarwestheim 1,partial,86.7,>50,1
DESM_DERP2391566500,UNTERSUCHUNGSSTATION WORMS,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB NECKAR - UND MAINMÜNDUNG",49.6311,8.3793,2010,9.77692,7.4,14.3,13,Cel,Biblis A,treatment,9.072,Neckar,downstream,Neckarwestheim 1,partial,86.7,>50,1
DESM_DERP2391566500,UNTERSUCHUNGSSTATION WORMS,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB NECKAR - UND MAINMÜNDUNG",49.6311,8.3793,2011,15.4692,7.4,22.9,13,Cel,Biblis A,treatment,9.072,Neckar,downstream,Neckarwestheim 1,partial,86.7,>50,1
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2008,14.1844,5.8,23.5,32,Cel,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2009,14.4077,3.2,20.3,13,Cel,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2010,12.1273,1.3,21.0,11,Cel,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2011,13.6,4.3,21.3,13,Cel,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_NW805180,E1AUHKARHEINENORDEU,EMS,52.30786,7.42164,2012,11.3909,5.4,19.0,11,Cel,Emsland,control,20.865,Ems,upstream,,,,,0
DESM_SH_120019,STÖRBEIHEILIGENSTEDTENKLAPPBRÜCKE,STÖR UL UND NG,53.92922,9.4692,2008,11.725,3.7,21.2,12,Cel,Brokdorf,control,11.863,,off_river,,,,,0
DESM_SH_120019,STÖRBEIHEILIGENSTEDTENKLAPPBRÜCKE,STÖR UL UND NG,53.92922,9.4692,2009,11.6727,1.8,22.4,11,Cel,Brokdorf,control,11.863,,off_river,,,,,0
DESM_SH_120019,STÖRBEIHEILIGENSTEDTENKLAPPBRÜCKE,STÖR UL UND NG,53.92922,9.4692,2010,10.525,1.4,25.0,12,Cel,Brokdorf,control,11.863,,off_river,,,,,0
DESM_SH_120019,STÖRBEIHEILIGENSTEDTENKLAPPBRÜCKE,STÖR UL UND NG,53.92922,9.4692,2011,11.8538,3.0,19.3,13,Cel,Brokdorf,control,11.863,,off_river,,,,,0
DESM_SH_120098,OSTERAUBEIBAß,OBERE OSTERAU,53.94611,10.01435,2009,9.825,3.3,14.9,12,Cel,Brokdorf,control,45.051,,off_river,,,,,0
DESM_SH_120098,OSTERAUBEIBAß,OBERE OSTERAU,53.94611,10.01435,2010,8.75833,3.1,14.7,12,Cel,Brokdorf,control,45.051,,off_river,,,,,0
DESM_SH_120098,OSTERAUBEIBAß,OBERE OSTERAU,53.94611,10.01435,2011,10.2077,4.2,15.5,13,Cel,Brokdorf,control,45.051,,off_river,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2008,14.1917,4.4,23.9,12,Cel,Grohnde,control,46.425,,off_river,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2009,13.35,0.4,22.5,12,Cel,Grohnde,control,46.425,,off_river,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2010,11.4824,0.1,24.2,17,Cel,Grohnde,control,46.425,,off_river,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2011,13.95,1.6,22.0,18,Cel,Grohnde,control,46.425,,off_river,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2012,13.2118,3.4,22.7,17,Cel,Grohnde,control,46.425,,off_river,,,,,0
DESM_BWU41,MANNHEIM/RHEIN,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB LAUTER- BIS OBERHALB NECKARMÜNDUNG",49.48374,8.45494,2011,15.3269,4.6,23.0,26,Cel,Biblis A,treatment,25.259,,off_river,,,,,0
DESM_BWU41,MANNHEIM/RHEIN,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB LAUTER- BIS OBERHALB NECKARMÜNDUNG",49.48374,8.45494,2012,14.308,2.3,26.0,25,Cel,Biblis A,treatment,25.259,,off_river,,,,,0
DESM_HE_107,WESCHNITZBIBLISWATTENHEIMNACHMÜNDUNGHALBMAASGRABEN,UNTERE WESCHNITZ,49.69875,8.41001,2008,13.2739,5.0,21.9,23,Cel,Biblis A,treatment,1.231,,off_river,,,,,0
DESM_HE_107,WESCHNITZBIBLISWATTENHEIMNACHMÜNDUNGHALBMAASGRABEN,UNTERE WESCHNITZ,49.69875,8.41001,2009,13.2348,1.1,23.9,23,Cel,Biblis A,treatment,1.231,,off_river,,,,,0
DESM_HE_107,WESCHNITZBIBLISWATTENHEIMNACHMÜNDUNGHALBMAASGRABEN,UNTERE WESCHNITZ,49.69875,8.41001,2011,14.0958,4.5,24.2,24,Cel,Biblis A,treatment,1.231,,off_river,,,,,0
DESM_HE_107,WESCHNITZBIBLISWATTENHEIMNACHMÜNDUNGHALBMAASGRABEN,UNTERE WESCHNITZ,49.69875,8.41001,2012,13.8957,3.0,24.8,23,Cel,Biblis A,treatment,1.231,,off_river,,,,,0
DESM_HE_115,SCHWARZBACHTREBURASTHEIMMESSSTATION,SCHWARZBACH/ASTHEIM,49.9561,8.35734,2008,13.0231,5.2,23.1,26,Cel,Biblis A,treatment,27.739,,off_river,,,,,0
DESM_HE_115,SCHWARZBACHTREBURASTHEIMMESSSTATION,SCHWARZBACH/ASTHEIM,49.9561,8.35734,2010,12.1481,1.5,23.5,52,Cel,Biblis A,treatment,27.739,,off_river,,,,,0
DESM_HE_115,SCHWARZBACHTREBURASTHEIMMESSSTATION,SCHWARZBACH/ASTHEIM,49.9561,8.35734,2011,13.3269,3.2,21.9,52,Cel,Biblis A,treatment,27.739,,off_river,,,,,0
DESM_HE_115,SCHWARZBACHTREBURASTHEIMMESSSTATION,SCHWARZBACH/ASTHEIM,49.9561,8.35734,2012,13.1231,0.5,22.9,52,Cel,Biblis A,treatment,27.739,,off_river,,,,,0
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2008,13.6308,4.0,23.8,26,Cel,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2009,13.1981,1.6,24.4,52,Cel,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2010,12.7692,2.6,26.7,52,Cel,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2011,14.175,2.7,23.5,52,Cel,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2012,14.0577,0.9,25.1,52,Cel,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_BWU44,DEIZISAU,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.7171,9.38628,2011,11.85,2.5,23.3,26,Cel,Neckarwestheim 1,partial,39.2,Neckar,upstream,,,,,0
DESM_BWU45,POPPENWEILER,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.91262,9.24781,2011,13.5462,2.7,22.8,26,Cel,Neckarwestheim 1,partial,15.243,Neckar,upstream,,,,,0
DESM_BWU45,POPPENWEILER,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.91262,9.24781,2012,13.3154,0.2,22.6,26,Cel,Neckarwestheim 1,partial,15.243,Neckar,upstream,,,,,0
DESM_BWU46,BESIGHEIM,NECKAR AB FILS OBERHALB ENZ (TBG 42),49.00129,9.14739,2011,13.6038,2.8,23.2,26,Cel,Neckarwestheim 1,partial,4.863,Neckar,upstream,,,,,0
DESM_BWU46,BESIGHEIM,NECKAR AB FILS OBERHALB ENZ (TBG 42),49.00129,9.14739,2012,13.3154,0.2,23.0,26,Cel,Neckarwestheim 1,partial,4.863,Neckar,upstream,,,,,0
