# Dataset: annual dissolved oxygen at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Dissolved oxygen'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_HE_378,DIEMELBADKARLSHAFENHELMARSHAUSEN,UNTERE DIEMEL,51.63266,9.4726,2008,10.5542,8.7,12.3,24,mg/L,Grohnde,control,44.989,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2008,9.31333,4.1,13.2,15,mg/L,Brokdorf,control,49.275,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2008,10.575,8.4,12.6,24,mg/L,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2008,9.18333,6.4,11.9,24,mg/L,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2008,9.97083,5.4,17.7,24,mg/L,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_36912024,BOKELOH,"HASE, GROßE HASE",52.69524,7.34741,2008,9.5375,7.9,11.3,24,mg/L,Emsland,control,23.881,,off_river,,,,,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2008,9.59167,6.9,12.2,12,mg/L,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2008,9.02727,6.5,12.4,22,mg/L,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_45752064,HESSOLDENDORF/FUHLEN,WESER,52.15799,9.24872,2008,10.7,8.1,12.5,12,mg/L,Grohnde,control,17.661,Weser,downstream,Grohnde,control,16.6,10-25,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2008,8.7,6.3,11.1,12,mg/L,Unterweser,treatment,49.148,,off_river,,,,,0
