# Water quality, June-September (summer) mean per site and year, from the Waterbase
# v2025_1 disaggregated (individual-sample) data. German sites on a study river within
# 50 km of a study reactor; determinand in {water_temperature (Cel), dissolved_oxygen (mg/L)}.
# n_samples is the number of underlying measurements. Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,mean_value,n_samples
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2021,5.1,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2022,4.2,2
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2023,4.2,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2008,9.0,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2009,9.3,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2013,9.1,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2014,8.4,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2015,8.2,2
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2017,9.2,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2018,8.7,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2019,8.2,1
DEGM_DEBY_4120622300012,KEIN NAME,NAME,49.79405,9.6295,Main,downstream,Grafenrheinfeld,staggered_treatment,35.2,25-50,dissolved_oxygen,2020,9.4,1
