# Water quality, monthly mean per site, from the Waterbase v2025_1 disaggregated data.
# German sites on a study river within 50 km of a study reactor.
# Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,month,mean_value,n_samples
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2009,10,0.1,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2010,3,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2010,6,0.4,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2010,9,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2011,3,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2011,9,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2012,9,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2013,5,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2015,3,1.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2016,9,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2017,3,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2017,9,0.1,1
