case,label,role,river,block,outcome,unit,upstream,downstream,spec,note,cut,n,n_pre,n_post,first_day,last_day,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,up_change,down_change,did_raw,did,se,t,p,ci_lo,ci_hi,r2
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,no_month_fe,ohne Monats-FE = klassisches 2×2 auf den gepaarten Tagen,2011-08-06,2135,482,1653,2010-03-17,2016-08-05,93.86493325595052,90.71048615147362,91.70671437062221,90.41654735684551,-2.158218885328316,-0.29393879462811145,-3.154447104476901,-1.2901670137766956,1.8642800907002046,1.8642800907001573,1.8236942602312587,1.0222547338958845,0.30666035145589277,-1.7100949781655268,5.438655159565841,0.00800828220248151
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,cut_moratorium,"Schnitt 14.03.2011 (Moratorium, Netzabgang)",2011-03-14,2135,337,1798,2010-03-17,2016-08-05,86.30845553902115,92.38119127981307,83.14156554070043,92.12596302574497,-3.1668899983207406,-0.2552282540680909,6.072735740791913,8.98439748504454,2.91166174425265,2.962834031488621,1.6104501123161203,1.8397552391284735,0.06580417964170078,-0.1935901875494599,6.119258250526702,0.06145685844150017
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,donut_transition,Übergangsmonate 14.03.–05.08.2011 entfernt,2011-08-06,1990,337,1653,2010-03-17,2016-08-05,86.30845553902115,90.71048615147362,83.14156554070043,90.41654735684551,-3.1668899983207406,-0.29393879462811145,4.402030612452464,7.274981816145086,2.872951203692629,2.871376117095247,1.5613808027456335,1.8389979638830147,0.06591548555106748,-0.1888740224384331,5.9316262566289275,0.060009575307074514
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,donut_1y,±1 Jahr um den Schnitt entfernt,2011-08-06,1511,137,1374,2010-03-17,2016-08-05,83.04287331160221,93.76475996846766,76.2013692756068,91.9853396020483,-6.841504035995415,-1.7794203664193495,10.72188665686545,15.783970326441505,5.062083669576065,4.388121276178989,2.160090389238367,2.0314526179278127,0.042209101406598636,0.15442190992068294,8.621820642437296,0.11039310249354317
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,placebo_cut_2008,"Nur Vorperiode, Scheinschnitt 06.08.2008",2008-08-06,337,0,337,2010-03-17,2011-03-13,,86.30845553902115,,83.14156554070043,,-3.1668899983207406,,,,,,,,,,
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,summer,"nur Juni–September (Niedrigwasser, größte thermische Last)",2011-08-06,731,188,543,2010-06-01,2016-08-05,75.48628502183824,87.91342345497219,75.20243691779065,88.38179786422242,-0.2838481040476029,0.4683744092502507,12.427138433133948,13.179360946431771,0.7522225132978536,0.30907266794371846,3.630749985350344,0.08512639790423215,0.9321609039812501,-6.8070665402122845,7.425211876099722,0.011450206940464391
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,winter,nur Oktober–Mai,2011-08-06,1404,294,1110,2010-03-17,2016-05-31,105.61726614034885,92.07877898408647,102.26047002073217,91.41192481134489,-3.356796119616664,-0.6668541727415807,-13.538487156262377,-10.848545209387282,2.6899419468750834,2.5386999661211496,1.2417507143203337,2.0444521890294984,0.04090889605465438,0.10491328827641011,4.972486643965889,0.1300777126338103
B2,Neckarwestheim 1 — Besigheim → Mannheim (Fernfeld),treatment_far,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Mannheim (Neckar),baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,3546,1752,1794,2006-08-06,2016-08-05,12.823573059360731,13.164381270903009,13.519634703196347,13.47123745819398,0.6960616438356164,0.3068561872909699,0.3408082115422779,-0.04839724500236642,-0.3892054565446465,-0.37895605361355,0.07390368672688154,-5.127701612695183,2.933008140999678e-07,-0.5238046179229686,-0.23410748930413136,0.22504702916473018
B2,Neckarwestheim 1 — Besigheim → Mannheim (Fernfeld),treatment_far,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Mannheim (Neckar),no_month_fe,ohne Monats-FE = klassisches 2×2 auf den gepaarten Tagen,2011-08-06,3546,1752,1794,2006-08-06,2016-08-05,12.823573059360731,13.164381270903009,13.519634703196347,13.47123745819398,0.6960616438356164,0.3068561872909699,0.3408082115422779,-0.04839724500236642,-0.3892054565446465,-0.38920545654464783,0.08944138412954306,-4.351514238430606,1.3520053985717587e-05,-0.5645073481659646,-0.21390356492333107,0.0744137292765733
B2,Neckarwestheim 1 — Besigheim → Mannheim (Fernfeld),treatment_far,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Mannheim (Neckar),cut_moratorium,"Schnitt 14.03.2011 (Moratorium, Netzabgang)",2011-03-14,3546,1607,1939,2006-08-06,2016-08-05,12.41661481020535,13.476173285198556,13.147604231487243,13.78318720990201,0.7309894212818917,0.30701392470345534,1.0595584749932048,0.6355829784147673,-0.42397549657843636,-0.431798007268095,0.07334853122164192,-5.886934613091344,3.9342427219486845e-09,-0.5755584867814248,-0.2880375277547651,0.2445710165584205
