case,outcome,rel_year,coef,se,ci_lo,ci_hi,gap_mean,n,reference
C1,temperature,-2,0.09799774866462789,0.1990086986546378,-0.2920521333086469,0.4880476306379027,-0.49388888888888893,360,False
C1,temperature,-1,0.0,0.0,0.0,0.0,-0.5790633608815426,363,True
C1,temperature,0,0.6348703860298477,0.2574454557976916,0.1302865646828737,1.1394542073768217,0.054918032786885305,366,False
C1,temperature,1,0.440936468992048,0.20047588142525027,0.048010961629635085,0.833861976354461,-0.14038461538461547,364,False
C1,temperature,2,0.33163852011063844,0.21569856012683364,-0.09112288925510287,0.7543999294763797,-0.24227405247813405,343,False
C1,temperature,3,0.11577818588381183,0.21093356793159715,-0.2976440103926515,0.5292003821602751,-0.5392523364485982,321,False
C1,temperature,4,0.06885688691985437,0.18111423123620002,-0.28612048339075696,0.4238342572304657,-0.5167582417582417,364,False
C1,oxygen,-5,-0.9368347350551326,0.27328206672582184,-1.4724577434584152,-0.4012117266518499,0.008192090395480155,354,False
C1,oxygen,-4,-1.1062123451566401,0.26975334592679334,-1.6349191878823297,-0.5775055024309507,-0.20034364261168386,291,False
C1,oxygen,-3,-0.8097156069068487,0.26303768736458905,-1.3252600007181496,-0.2941712130955477,0.1341807909604519,354,False
C1,oxygen,-2,-0.7299583077358028,0.2396200243552037,-1.1996049254466126,-0.26031169002499305,0.1986072423398329,359,False
C1,oxygen,-1,0.0,0.0,0.0,0.0,0.9415977961432507,363,True
C1,oxygen,0,-0.4902574236045818,0.45232763636556,-1.3768033000932094,0.3962884528840458,0.4550000000000001,360,False
C1,oxygen,1,-0.5575876809002723,0.42584576509165994,-1.39223004344883,0.2770546816482854,0.3876056338028169,355,False
C1,oxygen,2,-0.08063311689141939,0.3776539925784166,-0.8208213409628727,0.659555107180034,0.8448598130841121,321,False
C1,oxygen,3,-0.6923981477494424,0.2410675025765704,-1.1648817706425372,-0.21991452485634777,0.22646153846153844,325,False
C1,oxygen,4,-0.7774198595136687,0.35506595294214205,-1.4733363394166608,-0.08150337961067655,0.1448387096774194,310,False
C1,o2_saturation,-5,-6.824915616498429,2.766456620760358,-12.247070957981114,-1.4027602750157442,0.9289163085764716,354,False
C1,o2_saturation,-4,-10.08208957808679,2.721452495560767,-15.416038455022544,-4.748140701151036,-2.3483076783358126,290,False
C1,o2_saturation,-3,-8.07645609193448,2.48908150530351,-12.954966196914103,-3.197945986954857,-0.2682944874708234,354,False
C1,o2_saturation,-2,-7.12920824815239,2.421353742860239,-11.874974377989718,-2.383442118315063,0.4851817408211582,359,False
C1,o2_saturation,-1,0.0,0.0,0.0,0.0,7.770008358851157,363,True
C1,o2_saturation,0,-4.251954040818251,4.689291984339653,-13.442797443116334,4.938889361479833,3.559055811344162,360,False
C1,o2_saturation,1,-4.128191726955002,4.51367182647618,-12.97482594488144,4.7184424909714355,3.6890294568189304,355,False
C1,o2_saturation,2,0.19752096456575727,4.050346667568716,-7.741012628770753,8.136054557902268,7.949201284081433,321,False
C1,o2_saturation,3,-6.47071743964986,2.379190918289278,-11.133845951841623,-1.807588927458097,0.9069215609148588,305,False
C1,o2_saturation,4,-7.026242710979276,3.7563210761981116,-14.38849673469631,0.3360113127377584,0.8234576811187174,310,False
P1,temperature,-5,0.2545205479451932,0.08722767025337884,0.08355745579323484,0.42548364009715156,1.1906849315068493,365,False
P1,temperature,-4,0.34889303394501747,0.11028008976393332,0.1327480297958639,0.5650380380941711,1.2782967032967034,364,False
P1,temperature,-3,0.07184167010243993,0.10934406049547411,-0.14246875039205825,0.2861520905969381,0.9966666666666666,360,False
P1,temperature,-2,-0.04821917808219554,0.09704260864793104,-0.23841919599795558,0.14198083983356452,0.8879452054794521,365,False
P1,temperature,-1,0.0,0.0,0.0,0.0,0.9361643835616438,365,True
P1,temperature,0,0.27007345095703955,0.11713437611089764,0.04049429242811131,0.4996526094859678,1.2027397260273973,365,False
P1,temperature,1,0.1232226840524021,0.09957030061280105,-0.07193151907851443,0.31837688718331864,1.0533333333333332,360,False
P1,temperature,2,0.02470324360555107,0.08700318585223721,-0.14581986720507864,0.19522635441618078,0.9359550561797753,356,False
P1,temperature,3,-0.3449315068493088,0.09117447482506609,-0.5236301938157921,-0.1662328198828254,0.5912328767123287,365,False
P1,temperature,4,-0.32216417467127695,0.08891721498804604,-0.49643871365345227,-0.1478896356891016,0.6114754098360655,366,False
P2,temperature,-5,0.21979974646963904,0.17157653666676287,-0.11648408598933221,0.5560835789286103,-0.7287292817679558,362,False
P2,temperature,-4,0.27154769427728054,0.16530409000529694,-0.052442368630268965,0.59553775718483,-0.68,360,False
P2,temperature,-3,-0.13793806016823526,0.22556287677684064,-0.5800331749000891,0.3041570545636185,-1.0770083102493075,361,False
P2,temperature,-2,0.07702228667543207,0.17391036144652677,-0.2638357582981036,0.41788033164896765,-0.8832869080779945,359,False
P2,temperature,-1,0.0,0.0,0.0,0.0,-0.947107438016529,363,True
P2,temperature,0,0.8224928228253461,0.2143417375074901,0.4023907369269274,1.2425949087237647,-0.12349726775956275,366,False
P2,temperature,1,0.4957699698953184,0.1817432736050668,0.13955969919697842,0.8519802405936584,-0.4513736263736264,364,False
P2,temperature,2,0.3047981734478556,0.2078104942199143,-0.10250291083264551,0.7120992577283567,-0.6501457725947521,343,False
P2,temperature,3,0.0413836229076648,0.19036069573154596,-0.3317164847981529,0.4144837306134825,-0.9335347432024169,331,False
P2,temperature,4,0.20496972785395576,0.165070816726195,-0.11856312782799841,0.52850258353591,-0.7351648351648352,364,False
P2,oxygen,-5,-1.242187635406337,0.7379157455365685,-2.688475920283034,0.20410064947036033,-0.7181303116147308,353,False
P2,oxygen,-4,-1.508127555542032,0.7040771393480773,-2.8880933910022524,-0.12816172008181148,-0.9790368271954675,353,False
P2,oxygen,-3,-1.287191935016663,0.6952616440339858,-2.6498797171553825,0.07549584712205659,-0.7658333333333335,360,False
P2,oxygen,-2,-1.3068542275873012,0.6824970126586833,-2.644523791954498,0.030815336779895564,-0.8175637393767704,353,False
P2,oxygen,-1,0.0,0.0,0.0,0.0,0.4922636103151863,349,True
P2,oxygen,0,-1.9653863440713863,0.709955738204594,-3.356874021569938,-0.5738986665728347,-1.4445054945054945,364,False
P2,oxygen,1,-1.1746713521146723,0.7655196213929832,-2.6750622395036574,0.32571953527431274,-0.6324786324786325,351,False
P2,oxygen,2,-0.44250966648103046,0.7199381149437809,-1.8535624428684987,0.9685431099064379,0.01781250000000003,320,False
P2,oxygen,3,-0.5392071026888272,0.702468746189993,-1.9160205454862218,0.8376063401085674,-0.012424242424242404,330,False
P2,oxygen,4,-0.5916885014666143,0.7956476520905131,-2.1511292439478753,0.9677522410146465,-0.08088642659279777,361,False
P2,o2_saturation,-5,-11.701174735366902,7.481424645473169,-26.364497593544655,2.962148122810852,-8.790456051182382,353,False
P2,o2_saturation,-4,-14.748638239116381,7.136753299606229,-28.736417672891985,-0.7608588053407779,-11.784331759914094,352,False
P2,o2_saturation,-3,-13.389436627904885,6.969406083597662,-27.04922154539065,0.2703482895808822,-10.507946782267366,360,False
P2,o2_saturation,-2,-13.175142955555504,6.913290668697543,-26.724943680859514,0.37465776974850584,-10.705229944916734,353,False
P2,o2_saturation,-1,0.0,0.0,0.0,0.0,2.587943713620548,349,True
P2,o2_saturation,0,-18.02868412010884,7.2636463000300395,-32.26516926460533,-3.792198975612342,-15.154603169854072,364,False
P2,o2_saturation,1,-10.141782153863925,7.792892310923193,-25.415570418672495,5.132006110944646,-7.005079101650436,351,False
P2,o2_saturation,2,-3.2018228067378915,7.357233790175266,-17.62173606132253,11.218090447846745,-0.9604053712260743,320,False
P2,o2_saturation,3,-4.856407437344187,7.13750149561631,-18.845653308352922,9.132838433664551,-1.7625067458280703,321,False
P2,o2_saturation,4,-4.4499001130711635,8.142983495935722,-20.40985449180924,11.510054265666913,-1.6635319918616636,361,False
