observation_id,plant,outcome,window_years,did_coefficient,std_error,p_value,ci_lower,ci_upper,t_stat,n_observations,r_squared
5,Philippsburg 2,oxygen,4,-0.015552254349420064,0.15120483536616527,0.9181927661847143,-0.3139255776005795,0.2828210689017393,-0.10285553574895895,194.0,0.8939285042827282
5,Philippsburg 2,oxygen,5,0.026107024695742165,0.1430603372766094,0.8553720789435276,-0.255888345586389,0.30810239497787334,0.18248960678223358,228.0,0.8841442504887002
5,Philippsburg 2,oxygen,6,0.05226574500770037,0.13413036938246883,0.6971411265359938,-0.21199758669893776,0.3165290767143385,0.38966376703747174,248.0,0.8900026671590613
5,Philippsburg 2,oxygen,7,0.05226574500770037,0.13413036938246883,0.6971411265359938,-0.21199758669893776,0.3165290767143385,0.38966376703747174,248.0,0.8900026671590613
6,Gundremmingen C,temperature,5,0.22388118642208715,0.29133709317650175,0.4430191823891452,-0.3502170236258198,0.7979793964699942,0.7684609741281809,240.0,0.9626239409043938
6,Gundremmingen C,temperature,3,0.16397346663871798,0.35239599293840607,0.6423709110547074,-0.532216644057055,0.8601635773344911,0.4653102473482957,168.0,0.9621733518762627
6,Gundremmingen C,temperature,4,0.17025434755604785,0.3044492264496002,0.5766335792197446,-0.4300697516181621,0.7705784467302578,0.5592208249024159,216.0,0.9633140934673332
6,Gundremmingen C,temperature,5,0.22388118642208715,0.29133709317650175,0.4430191823891452,-0.3502170236258198,0.7979793964699942,0.7684609741281809,240.0,0.9626239409043938
6,Gundremmingen C,temperature,6,0.24743492744129714,0.2802739626779718,0.3781783570332286,-0.3045749750926239,0.7994448299752182,0.882832372572525,264.0,0.963095157221277
6,Gundremmingen C,temperature,7,0.23987550410307268,0.27922900108529625,0.3910590347758044,-0.30984029033736127,0.7895912985435066,0.859063718921509,288.0,0.9604234231983582
7,Isar 2,temperature,5,0.15819458790192087,0.3117429889750835,0.6124694426228893,-0.4570168587373352,0.773406034541177,0.5074519507945207,192.0,0.9708784496277045
7,Isar 2,temperature,3,0.08481133799460783,0.3281502555524373,0.7964694155047082,-0.5644419795010667,0.7340646554902823,0.25845275619800717,144.0,0.9730777190970793
7,Isar 2,temperature,4,0.1608859380793446,0.30780331122166676,0.6019455469077117,-0.4472073024967267,0.7689791786554159,0.5226907320807911,168.0,0.9732315661742528
7,Isar 2,temperature,5,0.15819458790192087,0.3117429889750835,0.6124694426228893,-0.4570168587373352,0.773406034541177,0.5074519507945207,192.0,0.9708784496277045
7,Isar 2,temperature,6,0.1849432622852869,0.3046960990280808,0.5445517628107194,-0.41586762925169396,0.7857541538222678,0.6069761407356992,216.0,0.9707318843634914
7,Isar 2,temperature,7,0.20360894319806278,0.2920684326246092,0.4864426523030104,-0.3719304175921615,0.779148303988287,0.6971275237394725,240.0,0.971481730107506
8,Neckarwestheim 2,temperature,5,-0.010910894660899895,0.46916722505761616,0.9814739325374013,-0.9371741210815969,0.9153523317597971,-0.023255875683899235,182.0,0.944104984923067
8,Neckarwestheim 2,temperature,3,-0.21579648526079342,0.5291986827006671,0.6841220118833886,-1.2629851763278905,0.8313922058063037,-0.40777970980486233,142.0,0.9404393151218293
8,Neckarwestheim 2,temperature,4,-0.11207010582011423,0.4803927676140256,0.8158619298351173,-1.061438294531364,0.8372980828911355,-0.23328849511356012,162.0,0.9443268230301174
8,Neckarwestheim 2,temperature,5,-0.010910894660899895,0.46916722505761616,0.9814739325374013,-0.9371741210815969,0.9153523317597971,-0.023255875683899235,182.0,0.944104984923067
8,Neckarwestheim 2,temperature,6,-0.010910894660899895,0.46916722505761616,0.9814739325374013,-0.9371741210815969,0.9153523317597971,-0.023255875683899235,182.0,0.944104984923067
8,Neckarwestheim 2,temperature,7,-0.010910894660899895,0.46916722505761616,0.9814739325374013,-0.9371741210815969,0.9153523317597971,-0.023255875683899235,182.0,0.944104984923067
8,Neckarwestheim 2,oxygen,5,0.02010836385834841,0.5123688148303516,0.9687455199375407,-0.9921225044312121,1.0323392321479088,0.039245877727758297,168.0,0.5511006200505156
8,Neckarwestheim 2,oxygen,3,0.4174603174603038,0.6003426277095277,0.48825093027038696,-0.7719267054772005,1.606847340397808,0.69537010732193,128.0,0.5229160116389775
8,Neckarwestheim 2,oxygen,4,0.13431637806637986,0.5358260031358862,0.8024435455488989,-0.9252426849008595,1.1938754410336192,0.25067163086580746,152.0,0.531466818305176
8,Neckarwestheim 2,oxygen,5,0.02010836385834841,0.5123688148303516,0.9687455199375407,-0.9921225044312121,1.0323392321479088,0.039245877727758297,168.0,0.5511006200505156
8,Neckarwestheim 2,oxygen,6,0.02010836385834841,0.5123688148303516,0.9687455199375407,-0.9921225044312121,1.0323392321479088,0.039245877727758297,168.0,0.5511006200505156
8,Neckarwestheim 2,oxygen,7,0.02010836385834841,0.5123688148303516,0.9687455199375407,-0.9921225044312121,1.0323392321479088,0.039245877727758297,168.0,0.5511006200505156
