plant,company,city,state,energy_source,technology,chp,capacity_net_bnetza,commissioned_year,shutdown_year,status,is_nuclear,latitude,longitude,river,river_km,offset_m
HKW III/B (HKW III/B),Stadtwerke Duisburg AG,Duisburg,Nordrhein-Westfalen,Natural gas,Combined cycle,yes,234.0,2005.0,,operating,False,51.391,6.748,Rhine,169.225,666.02
HKW I (ZAWSF),Stadtwerke Duisburg AG,Duisburg,Nordrhein-Westfalen,Hard coal,Steam turbine,yes,95.0,1985.0,2018.0,shutdown,False,51.429,6.752,Rhine,165.89,1845.955
HKW II/B (HKW II/B),Stadtwerke Duisburg AG,Duisburg,Nordrhein-Westfalen,Hard coal,Steam turbine,yes,133.0,1965.0,2012.0,shutdown,False,51.429,6.752,Rhine,165.89,1845.955
Duisburg Ruhrort 2 (Block 2),ThyssenKrupp Steel Europe AG,Duisburg - Ruhrort,Nordrhein-Westfalen,Other fuels,Steam turbine,yes,60.0,1955.0,,operating,False,51.46,6.731,Rhine,161.072,532.148
Duisburg Ruhrort 3 (Block 3),ThyssenKrupp Steel Europe AG,Duisburg - Ruhrort,Nordrhein-Westfalen,Other fuels,Steam turbine,yes,95.0,1963.0,,operating,False,51.46,6.731,Rhine,161.072,532.148
Duisburg Ruhrort 4 (Block 4),ThyssenKrupp Steel Europe AG,Duisburg - Ruhrort,Nordrhein-Westfalen,Other fuels,Steam turbine,yes,170.0,1968.0,,operating,False,51.46,6.731,Rhine,161.072,532.148
Duisburg Hamborn 3 (Block 3),ThyssenKrupp Steel Europe AG,Hamborn,Nordrhein-Westfalen,Other fuels,Steam turbine,yes,59.0,1958.0,,operating,False,51.491,6.727,Rhine,153.508,922.335
Duisburg Hamborn 4 (Block 4),ThyssenKrupp Steel Europe AG,Hamborn,Nordrhein-Westfalen,Other fuels,Steam turbine,yes,101.0,1976.0,,operating,False,51.491,6.727,Rhine,153.508,922.335
Duisburg Hamborn 5 (Block 5),ThyssenKrupp Steel Europe AG,Hamborn,Nordrhein-Westfalen,Other fuels,Steam turbine,yes,225.0,2003.0,,operating,False,51.501,6.73,Rhine,152.63,539.698
KW Walsum (Walsum 9),Steag GmbH,Duisburg,Nordrhein-Westfalen,Hard coal,Steam turbine,yes,370.0,1988.0,,operating,False,51.527,6.719,Rhine,150.61,931.114
KW Walsum (Walsum 10),STEAG-EVN Walsum 10 Kraftwerksgesellsellschaft mbH,Duisburg,Nordrhein-Westfalen,Hard coal,Steam turbine,yes,725.0,2013.0,,operating,False,51.527,6.719,Rhine,150.61,931.114
KW Walsum (Walsum 7),Steag GmbH,Duisburg,Nordrhein-Westfalen,Hard coal,Steam turbine,no,129.0,1959.0,2014.0,shutdown,False,51.529,6.712,Rhine,149.775,746.616
KW Voerde (Block A),RWE Generation SE,Voerde,Nordrhein-Westfalen,Hard coal,Steam turbine,no,695.0,1982.0,2017.0,shutdown,False,51.576,6.689,Rhine,142.931,691.443
KW Voerde (Block B),RWE Generation SE,Voerde,Nordrhein-Westfalen,Hard coal,Steam turbine,no,695.0,1985.0,2017.0,shutdown,False,51.576,6.689,Rhine,142.931,691.443
KW West (West 2),Steag GmbH,Voerde,Nordrhein-Westfalen,Hard coal,Steam turbine,no,318.0,1971.0,2017.0,shutdown,False,51.58,6.679,Rhine,142.096,500.5
KW West (West 1),Steag GmbH,Voerde,Nordrhein-Westfalen,Hard coal,Steam turbine,no,322.0,1971.0,2017.0,shutdown,False,51.58,6.679,Rhine,142.096,500.5
Solvay Kraftwerk Rheinberg,Solvay Chemicals GmbH,Rheinberg,Nordrhein-Westfalen,Natural gas,Steam turbine,yes,79.0,1961.0,,operating,False,51.565,6.578,Rhine,136.414,1878.875
HKW Nord (Generator A),Volkswagen AG,Wolfsburg,Niedersachsen,Hard coal,Steam turbine,yes,61.5,2000.0,,operating,False,51.253,9.438,Weser,505.722,1939.621
HKW West (Block 1),Volkswagen AG,Wolfsburg,Niedersachsen,Hard coal,Steam turbine,yes,138.5,1985.0,,operating,False,51.253,9.438,Weser,505.722,1939.621
"GuD Baunatal, VW Werksgelände",Volkswagen AG,Baunatal,Hessen,Natural gas,Combined cycle,yes,78.0,2011.0,,operating,False,51.253,9.438,Weser,505.722,1948.798
Grohnde (KWG),Preussen Elektra GmbH,Emmerthal,Niedersachsen,Nuclear,Steam turbine,no,1360.0,1985.0,,operating,True,52.036,9.413,Weser,355.876,50.57
Kraftwerk Veltheim (2),Gemeinschaftskraftwerk Veltheim GmbH,Porta Westfalica,Nordrhein-Westfalen,Hard coal,Steam turbine,no,93.0,1965.0,2012.0,shutdown,False,52.19,8.933,Weser,308.05,514.218
Kraftwerk Veltheim (3),Uniper Kraftwerke GmbH ,Porta Westfalica,Nordrhein-Westfalen,Hard coal,Steam turbine,no,303.0,1970.0,2015.0,shutdown,False,52.19,8.933,Weser,308.05,514.218
Kraftwerk Veltheim (4 DT),Uniper Kraftwerke GmbH ,Porta Westfalica,Nordrhein-Westfalen,Natural gas,Steam turbine,no,335.0,1975.0,2015.0,shutdown,False,52.187,8.93,Weser,307.845,171.646
Heyden (4),Uniper Kraftwerke GmbH ,Petershagen,Nordrhein-Westfalen,Hard coal,Steam turbine,no,875.0,1987.0,,operating,False,52.383,8.996,Weser,272.134,1429.975
Landesbergen Gas (Dampfturbine),Statkraft Markets GmbH,Landesbergen,Niedersachsen,Natural gas,Steam turbine,no,431.0,1973.0,,shutdown_temporary,False,52.546,9.114,Weser,238.27,305.721
KW Hastedt (Block 15),swb Erzeugung AG & Co. KG,Bremen,Bremen,Hard coal,Steam turbine,yes,119.0,1989.0,,operating,False,53.06,8.873,Weser,128.831,240.704
KW Hastedt (Block 14),swb Erzeugung GmbH & Co. KG,Bremen,Bremen,Natural gas,Steam turbine,yes,155.0,,2016.0,shutdown,False,53.06,8.873,Weser,128.831,240.704
KW Hafen (Block 5),swb Erzeugung GmbH & Co. KG,Bremen,Bremen,Hard coal,Steam turbine,yes,127.0,1968.0,2016.0,shutdown,False,53.125,8.729,Weser,115.206,784.026
KW Hafen (Block 6),swb Erzeugung AG & Co. KG,Bremen,Bremen,Hard coal,Steam turbine,yes,303.0,1979.0,,operating,False,53.125,8.729,Weser,115.206,780.847
KW Mittelsbüren (GuD MiBÜ),Gemeinschaftskraftwerk Bremen GmbH und Co. KG,Bremen,Bremen,Natural gas,Combined cycle,no,444.5,2016.0,,operating,False,53.129,8.685,Weser,112.422,666.702
KW Mittelsbüren (Block 4),ArcelorMittal Bremen GmbH,Bremen,Bremen,Other fuels,Steam turbine,no,160.0,1975.0,,operating,False,53.129,8.685,Weser,112.422,666.702
KW Mittelsbüren (Block 3),swb Erzeugung GmbH & Co. KG,Bremen,Bremen,Other fuels,Steam turbine,no,110.0,,2013.0,shutdown,False,53.129,8.685,Weser,112.422,666.702
Farge (Farge),ENGIE Deutschland AG,Bremen,Bremen,Hard coal,Steam turbine,no,350.0,1969.0,,operating,False,53.202,8.516,Weser,24.618,313.421
