outcome,site,river,event_year,spec,sample,unit,upstream_station,upstream_km,downstream_station,downstream_km,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,did,std_error,min_detectable_effect,ci_low,ci_high,p_value,pooled_did,pooled_p_value,n_pre,n_post
dissolved_oxygen,Gundremmingen,Danube,2021,nearest_downstream,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.2278,10.0441,11.0847,10.5324,0.8569,0.4882,-0.3756,0.2867,0.8034,-0.9375,0.1864,0.1902,-0.3687,0.0,36,34
dissolved_oxygen,Gundremmingen,Danube,2021,donut,donut_drop_1y_each_side,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.3191,10.0955,11.3706,10.3455,1.0515,0.25,-0.7891,0.2722,0.7627,-1.3226,-0.2556,0.0037,-0.8015,0.0,34,22
dissolved_oxygen,Gundremmingen,Danube,2021,season_split,summer_jun_sep,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,8.6833,8.7583,10.1125,9.4,1.4292,0.6417,-0.7875,0.4402,1.2335,-1.6503,0.0753,0.0736,-0.7875,0.0,12,12
dissolved_oxygen,Gundremmingen,Danube,2021,season_split,winter_oct_may,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,11.0,10.7455,11.5708,11.15,0.5708,0.4045,-0.1588,0.3397,0.9519,-0.8246,0.5071,0.6403,-0.1663,0.0,24,22
dissolved_oxygen,Gundremmingen,Danube,2021,placebo,placebo_2018,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.2426,10.2229,11.1,10.7396,0.8574,0.5167,-0.3121,0.1371,0.3842,-0.5809,-0.0434,0.0228,-0.3407,0.0,34,24
dissolved_oxygen,Gundremmingen,Danube,2021,distance_sensitivity,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Schäfstall Pegel,50.3,10.2278,10.0353,10.3833,10.0647,0.1556,0.0294,-0.1267,0.1367,0.383,-0.3946,0.1411,0.3538,-0.1261,0.0,36,34
dissolved_oxygen,Gundremmingen,Danube,2021,distance_sensitivity,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,10.2278,10.0943,10.3903,10.18,0.1625,0.0857,-0.0715,0.1437,0.4028,-0.3532,0.2103,0.6191,-0.0768,0.0,36,35
dissolved_oxygen,Gundremmingen,Danube,2021,distance_sensitivity,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Messstation Ingolstadt Luitpoldstraße,100.2,10.2278,10.0943,10.503,10.3175,0.2753,0.2232,-0.0387,0.1499,0.42,-0.3325,0.2551,0.7963,-0.052,0.0,36,35
dissolved_oxygen,Gundremmingen,Danube,2021,best_coverage,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,10.2278,10.0943,10.3903,10.18,0.1625,0.0857,-0.0715,0.1437,0.4028,-0.3532,0.2103,0.6191,-0.0768,0.0,36,35
dissolved_oxygen,Gundremmingen,Danube,2021,best_coverage_donut,donut_drop_1y_each_side,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,10.2643,10.1696,10.5171,10.1826,0.2529,0.013,-0.2431,0.157,0.44,-0.5508,0.0646,0.1216,-0.2398,0.0,35,23
dissolved_oxygen,Gundremmingen,Danube,2021,best_coverage_season_split,summer_jun_sep,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,8.6833,8.7583,8.7375,8.9333,0.0542,0.175,0.1208,0.2004,0.5615,-0.272,0.5136,0.5466,0.1208,0.0,12,12
dissolved_oxygen,Gundremmingen,Danube,2021,best_coverage_season_split,winter_oct_may,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,11.0,10.7913,11.2167,10.8304,0.2167,0.0391,-0.1701,0.1727,0.4839,-0.5086,0.1684,0.3247,-0.1775,0.0,24,23
dissolved_oxygen,Gundremmingen,Danube,2021,best_coverage_placebo,placebo_2018,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,10.19,10.2229,10.68,10.3937,0.49,0.1708,-0.3,0.1639,0.4591,-0.6212,0.0212,0.0671,-0.3192,0.0,35,24
dissolved_oxygen,Isar,Isar,2011,nearest_downstream,all_year,mg/l,HOFHAM,21.5,GOTTFRIEDING BRUECKE,20.3,10.3983,10.8227,9.7475,10.026,-0.6508,-0.7967,0.0073,0.4183,1.172,-0.8125,0.8271,0.9861,-0.1458,0.0,20,25
dissolved_oxygen,Isar,Isar,2011,donut,donut_drop_1y_each_side,mg/l,HOFHAM,21.5,GOTTFRIEDING BRUECKE,20.3,9.9405,10.9359,9.6536,10.1731,-0.2869,-0.7628,-0.501,0.3309,0.9272,-1.1495,0.1476,0.13,-0.4759,0.0,14,26
dissolved_oxygen,Isar,Isar,2011,season_split,winter_oct_may,mg/l,HOFHAM,21.5,GOTTFRIEDING BRUECKE,20.3,11.3526,11.3657,10.5385,10.7206,-0.8141,-0.6451,0.3145,0.5128,1.437,-0.6907,1.3196,0.5397,0.169,0.0,13,17
dissolved_oxygen,Isar,Isar,2011,distance_sensitivity,all_year,mg/l,HOFHAM,21.5,Plattling Bruecke B8,54.4,10.3061,10.8757,9.9561,10.5219,-0.35,-0.3538,0.0092,0.3733,1.0459,-0.7224,0.7408,0.9804,-0.0038,0.0,33,35
dissolved_oxygen,Isar,Isar,2011,best_coverage,all_year,mg/l,HMS Moosburg,36.9,Plattling Bruecke B8,54.4,11.0659,10.7579,9.8861,10.4907,-1.1798,-0.2671,0.9127,0.3057,0.8567,0.3135,1.5119,0.0028,0.9127,0.0,36,36
dissolved_oxygen,Isar,Isar,2011,best_coverage_donut,donut_drop_1y_each_side,mg/l,HMS Moosburg,36.9,Plattling Bruecke B8,54.4,11.2979,10.5933,9.8347,10.601,-1.4631,0.0076,1.4606,0.3231,0.9052,0.8275,2.0938,0.0,1.4708,0.0,36,35
dissolved_oxygen,Isar,Isar,2011,best_coverage_season_split,summer_jun_sep,mg/l,HMS Moosburg,36.9,Plattling Bruecke B8,54.4,9.5806,9.8083,8.6806,9.1458,-0.9,-0.6625,0.2375,0.4382,1.2278,-0.6213,1.0963,0.5878,0.2375,0.0,12,12
dissolved_oxygen,Isar,Isar,2011,best_coverage_season_split,winter_oct_may,mg/l,HMS Moosburg,36.9,Plattling Bruecke B8,54.4,11.8086,11.2326,10.4889,11.1632,-1.3197,-0.0694,1.2503,0.3685,1.0326,0.528,1.9726,0.0007,1.2503,0.0,24,24
dissolved_oxygen,Isar,Isar,2011,best_coverage_placebo,placebo_2008,mg/l,HMS Moosburg,36.9,Plattling Bruecke B8,54.4,11.4296,10.7764,10.188,9.9653,-1.2417,-0.8111,0.4306,0.2987,0.837,-0.1549,1.016,0.1495,0.4306,0.0,36,24
dissolved_oxygen,Isar,Isar,2023,best_coverage,all_year,mg/l,Baierbrunn oh Ausleitung,104.3,Plattling Bruecke B8,54.4,10.5778,10.4167,10.2806,10.7917,-0.2972,0.375,0.6722,0.2008,0.5626,0.2787,1.0658,0.0008,0.6722,0.0,36,12
dissolved_oxygen,Isar,Isar,2023,best_coverage_placebo,placebo_2020,mg/l,Baierbrunn oh Ausleitung,104.3,Plattling Bruecke B8,54.4,10.5129,10.55,10.2129,10.3458,-0.3,-0.2042,0.1028,0.2275,0.6374,-0.343,0.5486,0.6513,0.0958,0.0,35,24
